,sample_id,weight,area_max,d13C,se_C,d18O,se_O,pCO3,se_CO3,batch_id,notes
1,LARO66-A,0.905,13.129,-9.475892781,0.031970875,-5.297207678,0.113851333,0.03586235,0.002521618,23-143-2altered,
2,LARO65-A,0.907,13.271,-10.00611769,0.03367487,-9.428035507,0.101034138,0.036170294,0.002543271,23-143-2altered,
3,LARO60-A,1.027,16.975,-9.604530951,0.032382504,-4.756890555,0.116435981,0.040859685,0.002872999,23-143-2altered,
4,LARO59-A,0.965,14.498,-11.17748474,0.037498598,-10.55488557,0.100040517,0.037139535,0.002611422,23-143-2altered,
5,LARO55-A,0.981,12.479,-9.979062002,0.033587468,-6.207010526,0.109921375,0.031446075,0.002211093,23-143-2altered,
6,LARO54-A,1.093,17.012,-7.987486081,0.027310428,-6.992176859,0.106993717,0.038476086,0.0027054,23-143-2altered,
7,LARO51-A,1.057,17.446,-10.46431253,0.035161737,-11.06975359,0.099977528,0.04080154,0.002868911,23-143-2altered,
8,LARO50-A,0.916,14.794,-8.196296226,0.027951094,-6.072859929,0.110465797,0.039925082,0.002807284,23-143-2altered,
9,LARO78-A,0.929,11.288,-8.94942768,0.030299431,-5.672995029,0.112161525,0.030037028,0.002112017,23-143-2altered,
10,LARO76-A,1.031,13.58,-10.05850167,0.033844222,-8.481347312,0.102754491,0.032560928,0.002289482,23-143-2altered,
11,LARO75-A,0.953,12.355,-9.614301452,0.032413817,-4.601118867,0.117213605,0.032048339,0.00225344,23-143-2altered,
12,LARO74-A,0.983,16.001,-9.410708309,0.031762752,-7.326435437,0.105887372,0.040239195,0.00282937,23-143-2altered,
13,LARO72-A,1.055,16.374,-9.453680635,0.03189992,-6.890051633,0.107348787,0.038367014,0.00269773,23-143-2altered,
14,LARO70-A,0.971,13.724,-9.608648595,0.0323957,-3.795823796,0.121451106,0.034939538,0.002456731,23-143-2altered,
15,LARO68-A,1.084,17.141,-10.10554541,0.033996455,-5.310720182,0.113789003,0.039089719,0.002748546,23-143-2altered,
16,LARO79-A,0.999,14.787,-8.888251584,0.030106685,-4.940102497,0.115539695,0.036590661,0.002572828,23-143-2altered,
17,LAR100-A,1.072,17.523,-9.327937965,0.031498939,-7.200703344,0.106293396,0.040408186,0.002841253,23-143-2altered,
18,LARO97-A,0.907,13.396,-10.31520763,0.034676537,-6.889427791,0.10735098,0.036510983,0.002567226,23-143-2altered,
19,LARO96-A,0.994,12.674,-9.588556744,0.032331324,-6.20727346,0.10992032,0.031519767,0.002216274,23-143-2altered,
20,LARO95-A,0.921,14.315,-9.036809204,0.030575299,-9.397096634,0.101077778,0.038422657,0.002701643,23-143-2altered,
21,LAR107-A,1.042,17.217,-10.4091276,0.034982014,-9.824113616,0.100552111,0.040845615,0.00287201,23-143-2altered,
22,LARO80-A,1.081,14.651,-9.733253263,0.032795573,-9.242858853,0.101308176,0.033504045,0.002355797,23-143-2altered,
23,LAR106-A,0.945,13.141,-10.28075204,0.034564595,-10.12655778,0.100280583,0.034375758,0.00241709,23-143-2altered,
24,LAR101-A,0.939,15.928,-7.169153071,0.02485285,-5.055544966,0.114985312,0.041932555,0.002948437,23-143-2altered,
25,LARO98-A,1.058,17.027,-11.06904482,0.037141665,-6.401935456,0.10915283,0.039783972,0.002797362,23-143-2altered,
26,LARO89-A,1.086,14.934,-9.175536843,0.03101458,-6.987552962,0.107009623,0.033993979,0.002390246,23-143-2altered,
27,LARO87-A,0.959,14.306,-10.0521232,0.033823592,-6.751636032,0.107842536,0.036876975,0.00259296,23-143-2altered,
28,LARO85-A,1.022,15.27,-9.55699912,0.032230268,-4.772477293,0.116358953,0.036935486,0.002597074,23-143-2altered,
29,LARO84-A,0.929,13.598,-8.411493536,0.028616367,-6.945023463,0.10715668,0.036183869,0.002544225,23-143-2altered,
30,LARO82-A,0.926,14.628,-10.48762677,0.035237715,-6.271086949,0.109665772,0.039050773,0.002745808,23-143-2altered,
31,LARO92-A,1.056,17.359,-8.8943885,0.030126006,-5.125865748,0.114651604,0.040636515,0.002857308,23-143-2altered,
32,LARO90-A,0.995,14.037,-9.765067641,0.032897841,-5.060991017,0.114959359,0.034874412,0.002452152,23-143-2altered,
33,LARO75-A,0.995,14.066,-9.431912695,0.031830419,-4.632059807,0.117058021,0.034946461,0.002457218,23-143-2altered,
34,LARO79-A,0.901,13.929,-8.96914553,0.030361624,-5.262156228,0.114013551,0.038216492,0.002687147,23-143-2altered,
35,LARO78-A,0.917,11.708,-8.871445318,0.030053792,-5.941960675,0.111008998,0.03156233,0.002219267,23-143-2altered,
36,LARO50-A,0.98,16.345,-8.045095421,0.027486685,-6.264074298,0.109693605,0.041230113,0.002899046,23-143-2altered,
